,Natural,SQL
448,what is the summary of paper with paperID D09-1056 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'D09-1056' 
449,what is the summary of paper with paperID S14-2018 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'S14-2018' 
450,what is the summary of paper with paperID W10-1914 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-1914' 
451,what is the summary of paper with paperID P13-1089 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P13-1089' 
452,what is the summary of paper with paperID P14-5018 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P14-5018' 
453,what is the summary of paper with paperID P96-1049 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P96-1049' 
454,what is the summary of paper with paperID W06-1007 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-1007' 
455,what is the summary of paper with paperID W97-0310 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0310' 
456,what is the summary of paper with paperID W10-4159 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-4159' 
457,what is the summary of paper with paperID P12-2003 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P12-2003' 
458,what is the summary of paper with paperID D10-1062 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'D10-1062' 
459,what is the summary of paper with paperID W04-2407 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W04-2407' 
460,what is the summary of paper with paperID W07-0608 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W07-0608' 
461,what is the summary of paper with paperID I08-5012 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'I08-5012' 
462,what is the summary of paper with paperID W09-0903 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-0903' 
463,what is the summary of paper with paperID P15-1143 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P15-1143' 
464,what is the summary of paper with paperID N10-1089 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'N10-1089' 
465,what is the summary of paper with paperID W11-0805 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W11-0805' 
466,what is the summary of paper with paperID S12-1076 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'S12-1076' 
467,what is the summary of paper with paperID W14-4316 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W14-4316' 
468,what is the summary of paper with paperID C08-2009 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C08-2009' 
469,what is the summary of paper with paperID W09-3926 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-3926' 
470,what is the summary of paper with paperID P11-1104 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P11-1104' 
471,what is the summary of paper with paperID W11-1825 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W11-1825' 
472,what is the summary of paper with paperID C90-2058 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C90-2058' 
473,what is the summary of paper with paperID H93-1113 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'H93-1113' 
474,what is the summary of paper with paperID E14-1078 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E14-1078' 
475,what is the summary of paper with paperID W11-2135 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W11-2135' 
476,what is the summary of paper with paperID P07-1071 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1071' 
477,what is the summary of paper with paperID P12-3008 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P12-3008' 
478,what is the summary of paper with paperID W14-3627 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W14-3627' 
479,what is the summary of paper with paperID P04-3032 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P04-3032' 
480,Print summary of paper W06-2715,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-2715' 
481,Print summary of paper P07-1092,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1092' 
482,Print summary of paper N10-1002,SELECT Summary from PaperID_Summary WHERE PaperID = 'N10-1002' 
483,Print summary of paper J81-2001,SELECT Summary from PaperID_Summary WHERE PaperID = 'J81-2001' 
484,Print summary of paper C10-1045,SELECT Summary from PaperID_Summary WHERE PaperID = 'C10-1045' 
485,Print summary of paper D07-1035,SELECT Summary from PaperID_Summary WHERE PaperID = 'D07-1035' 
486,Print summary of paper P12-1089,SELECT Summary from PaperID_Summary WHERE PaperID = 'P12-1089' 
487,Print summary of paper P15-1035,SELECT Summary from PaperID_Summary WHERE PaperID = 'P15-1035' 
488,Print summary of paper P95-1010,SELECT Summary from PaperID_Summary WHERE PaperID = 'P95-1010' 
489,Print summary of paper D14-1041,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1041' 
490,Print summary of paper P09-1107,SELECT Summary from PaperID_Summary WHERE PaperID = 'P09-1107' 
491,Print summary of paper W08-1136,SELECT Summary from PaperID_Summary WHERE PaperID = 'W08-1136' 
492,Print summary of paper E85-1024,SELECT Summary from PaperID_Summary WHERE PaperID = 'E85-1024' 
493,Print summary of paper W96-0418,SELECT Summary from PaperID_Summary WHERE PaperID = 'W96-0418' 
494,Print summary of paper P13-1117,SELECT Summary from PaperID_Summary WHERE PaperID = 'P13-1117' 
495,Print summary of paper W03-1804,SELECT Summary from PaperID_Summary WHERE PaperID = 'W03-1804' 
496,Print summary of paper D12-1036,SELECT Summary from PaperID_Summary WHERE PaperID = 'D12-1036' 
497,Print summary of paper N09-1038,SELECT Summary from PaperID_Summary WHERE PaperID = 'N09-1038' 
498,Print summary of paper P03-2030,SELECT Summary from PaperID_Summary WHERE PaperID = 'P03-2030' 
499,Print summary of paper W09-0702,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-0702' 
500,Print summary of paper W02-0605,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-0605' 
501,Print summary of paper W08-0322,SELECT Summary from PaperID_Summary WHERE PaperID = 'W08-0322' 
502,Print summary of paper W13-1505,SELECT Summary from PaperID_Summary WHERE PaperID = 'W13-1505' 
503,Print summary of paper P09-1081,SELECT Summary from PaperID_Summary WHERE PaperID = 'P09-1081' 
504,Print summary of paper W98-0715,SELECT Summary from PaperID_Summary WHERE PaperID = 'W98-0715' 
505,Print summary of paper W97-0304,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0304' 
506,Print summary of paper W04-0711,SELECT Summary from PaperID_Summary WHERE PaperID = 'W04-0711' 
507,Print summary of paper W04-0832,SELECT Summary from PaperID_Summary WHERE PaperID = 'W04-0832' 
508,Print summary of paper A88-1014,SELECT Summary from PaperID_Summary WHERE PaperID = 'A88-1014' 
509,Print summary of paper E12-2009,SELECT Summary from PaperID_Summary WHERE PaperID = 'E12-2009' 
510,Print summary of paper C94-2117,SELECT Summary from PaperID_Summary WHERE PaperID = 'C94-2117' 
511,Print summary of paper N04-1022,SELECT Summary from PaperID_Summary WHERE PaperID = 'N04-1022' 
512,Print summary of paper W03-1122,SELECT Summary from PaperID_Summary WHERE PaperID = 'W03-1122' 
513,Print summary of paper W06-1410,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-1410' 
514,Print summary of paper P08-4004,SELECT Summary from PaperID_Summary WHERE PaperID = 'P08-4004' 
515,Print summary of paper E89-1023,SELECT Summary from PaperID_Summary WHERE PaperID = 'E89-1023' 
516,Print summary of paper C96-2130,SELECT Summary from PaperID_Summary WHERE PaperID = 'C96-2130' 
517,Print summary of paper W09-1503,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-1503' 
518,Print summary of paper P93-1034,SELECT Summary from PaperID_Summary WHERE PaperID = 'P93-1034' 
519,Print summary of paper D14-1121,SELECT Summary from PaperID_Summary WHERE PaperID = 'D14-1121' 
520,List titles of all the papers,SELECT Title FROM PaperID_Title 
521,List titles of all the papers with corresponding paperID,"SELECT PaperID,Title FROM PaperID_Title "
522,What is title of the paper with PaperID P84-1072?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P84-1072'
523,What is title of the paper with PaperID W98-0509?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W98-0509'
524,What is title of the paper with PaperID P07-2025?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P07-2025'
525,What is title of the paper with PaperID H91-1062?,SELECT Title FROM PaperID_Title WHERE PaperID = 'H91-1062'
526,What is title of the paper with PaperID D10-1052?,SELECT Title FROM PaperID_Title WHERE PaperID = 'D10-1052'
527,What is title of the paper with PaperID P13-2149?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P13-2149'
528,What is title of the paper with PaperID D14-1209?,SELECT Title FROM PaperID_Title WHERE PaperID = 'D14-1209'
529,What is title of the paper with PaperID W08-1602?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W08-1602'
530,What is title of the paper with PaperID C14-1042?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C14-1042'
531,What is title of the paper with PaperID H89-2046?,SELECT Title FROM PaperID_Title WHERE PaperID = 'H89-2046'
532,What is title of the paper with PaperID M92-1032?,SELECT Title FROM PaperID_Title WHERE PaperID = 'M92-1032'
533,What is title of the paper with PaperID W10-0725?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W10-0725'
534,What is title of the paper with PaperID N10-1022?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N10-1022'
535,What is title of the paper with PaperID W10-4236?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W10-4236'
536,What is title of the paper with PaperID W08-1131?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W08-1131'
537,What is title of the paper with PaperID C90-2049?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C90-2049'
538,What is title of the paper with PaperID W03-0314?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W03-0314'
539,What is title of the paper with PaperID C80-1039?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C80-1039'
540,What is title of the paper with PaperID C82-1039?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C82-1039'
541,What is title of the paper with PaperID W99-0411?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W99-0411'
542,What is title of the paper with PaperID H93-1018?,SELECT Title FROM PaperID_Title WHERE PaperID = 'H93-1018'
543,What is title of the paper with PaperID C94-2129?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C94-2129'
544,What is title of the paper with PaperID P03-1006?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P03-1006'
545,What is title of the paper with PaperID C14-2013?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C14-2013'
546,What is title of the paper with PaperID D09-1147?,SELECT Title FROM PaperID_Title WHERE PaperID = 'D09-1147'
547,What is title of the paper with PaperID W03-1208?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W03-1208'
548,What is title of the paper with PaperID N07-1059?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N07-1059'
549,What is title of the paper with PaperID E09-2006?,SELECT Title FROM PaperID_Title WHERE PaperID = 'E09-2006'
550,What is title of the paper with PaperID P04-1014?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P04-1014'
551,What is title of the paper with PaperID X98-1025?,SELECT Title FROM PaperID_Title WHERE PaperID = 'X98-1025'
552,What is title of the paper with PaperID S13-2085?,SELECT Title FROM PaperID_Title WHERE PaperID = 'S13-2085'
553,What is title of the paper with PaperID W11-1411?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W11-1411'
554,What is title of the paper with PaperID N10-1141?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N10-1141'
555,What is title of the paper with PaperID W98-0316?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W98-0316'
556,What is title of the paper with PaperID P12-2031?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P12-2031'
557,What is title of the paper with PaperID W09-1605?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W09-1605'
558,What is title of the paper with PaperID P06-2094?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P06-2094'
559,What is title of the paper with PaperID P89-1001?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P89-1001'
560,What is title of the paper with PaperID W11-1012?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W11-1012'
561,What is title of the paper with PaperID C00-2149?,SELECT Title FROM PaperID_Title WHERE PaperID = 'C00-2149'
562,What is Paper ID of the paper with title Intentional Context In Situated Natural Language Learning?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Intentional Context In Situated Natural Language Learning'
563,What is Paper ID of the paper with title A Bottom-Up Merging Algorithm For Chinese Unknown Word Extraction?,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Bottom-Up Merging Algorithm For Chinese Unknown Word Extraction'
564,What is Paper ID of the paper with title Efficient Transformation-Based Parsing?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Efficient Transformation-Based Parsing'
565,What is Paper ID of the paper with title Neural Network Based Bilingual Language Model Growing for Statistical Machine Translation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Neural Network Based Bilingual Language Model Growing for Statistical Machine Translation'
566,What is Paper ID of the paper with title Japanese Dependency Structure Analysis Based On Maximum Entropy Models?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Japanese Dependency Structure Analysis Based On Maximum Entropy Models'
567,What is Paper ID of the paper with title Addressee Identification In Face-To-Face Meetings?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Addressee Identification In Face-To-Face Meetings'
568,What is Paper ID of the paper with title Stock Of Shared Knowledge - A Tool For Solving Pronominal Anaphora?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Stock Of Shared Knowledge - A Tool For Solving Pronominal Anaphora'
569,What is Paper ID of the paper with title Session 9: Government Panel?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Session 9: Government Panel'
570,What is Paper ID of the paper with title Prediction of Maximal Projection for Semantic Role Labeling?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Prediction of Maximal Projection for Semantic Role Labeling'
571,What is Paper ID of the paper with title Learning Linear Precedence Rules?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning Linear Precedence Rules'
572,What is Paper ID of the paper with title Improved Iterative Correction for Distant Spelling Errors?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Improved Iterative Correction for Distant Spelling Errors'
573,What is Paper ID of the paper with title A Classification of Dialogue Actions in Tutorial Dialogue?,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Classification of Dialogue Actions in Tutorial Dialogue'
574,What is Paper ID of the paper with title Modeling and Learning Semantic Co-Compositionality through Prototype Projections and Neural Networks?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Modeling and Learning Semantic Co-Compositionality through Prototype Projections and Neural Networks'
575,What is Paper ID of the paper with title Learning Transliteration Lexicons From The Web?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning Transliteration Lexicons From The Web'
576,What is Paper ID of the paper with title Efficient Methods for Inferring Large Sparse Topic Hierarchies?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Efficient Methods for Inferring Large Sparse Topic Hierarchies'
577,What is Paper ID of the paper with title Robust Knowledge Discovery From Parallel Speech And Text Sources?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Robust Knowledge Discovery From Parallel Speech And Text Sources'
578,What is Paper ID of the paper with title Real-time Incremental Speech-to-Speech Translation of Dialogs?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Real-time Incremental Speech-to-Speech Translation of Dialogs'
579,What is Paper ID of the paper with title From Structured Prediction to Inverse Reinforcement Learning?,SELECT PaperID FROM PaperID_Title WHERE Title = 'From Structured Prediction to Inverse Reinforcement Learning'
580,What is Paper ID of the paper with title An Unsupervised Learning Method For Associative Relationships Between Verb Phrases?,SELECT PaperID FROM PaperID_Title WHERE Title = 'An Unsupervised Learning Method For Associative Relationships Between Verb Phrases'
581,What is Paper ID of the paper with title An Algorithm for Unsupervised Transliteration Mining with an Application to Word Alignment?,SELECT PaperID FROM PaperID_Title WHERE Title = 'An Algorithm for Unsupervised Transliteration Mining with an Application to Word Alignment'
582,What is Paper ID of the paper with title ETS: Discriminative Edit Models for Paraphrase Scoring?,SELECT PaperID FROM PaperID_Title WHERE Title = 'ETS: Discriminative Edit Models for Paraphrase Scoring'
583,What is Paper ID of the paper with title Evaluating And Combining Approaches To Selectional Preference Acquisition?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Evaluating And Combining Approaches To Selectional Preference Acquisition'
584,What is Paper ID of the paper with title INAOE_UPV-CORE: Extracting Word Associations from Document Corpora to estimate Semantic Textual Similarity?,SELECT PaperID FROM PaperID_Title WHERE Title = 'INAOE_UPV-CORE: Extracting Word Associations from Document Corpora to estimate Semantic Textual Similarity'
585,What is Paper ID of the paper with title Unsupervised Learning Of Morphology Without Morphemes?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Unsupervised Learning Of Morphology Without Morphemes'
586,What is Paper ID of the paper with title The Formal Consequences Of Using Variables In CCG Categories?,SELECT PaperID FROM PaperID_Title WHERE Title = 'The Formal Consequences Of Using Variables In CCG Categories'
587,What is Paper ID of the paper with title WYSIWYM - Building User Interfaces With Natural Language Feedback?,SELECT PaperID FROM PaperID_Title WHERE Title = 'WYSIWYM - Building User Interfaces With Natural Language Feedback'
588,What is Paper ID of the paper with title Towards A Self-Extending Lexicon?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Towards A Self-Extending Lexicon'
589,What is Paper ID of the paper with title Ein Programm Zur Automatischen Synthese Englischer Satze?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Ein Programm Zur Automatischen Synthese Englischer Satze'
590,What is Paper ID of the paper with title The Role Of Initiative In Tutorial Dialogue?,SELECT PaperID FROM PaperID_Title WHERE Title = 'The Role Of Initiative In Tutorial Dialogue'
591,What is Paper ID of the paper with title Building Parallel Corpora For EContent Professionals?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Building Parallel Corpora For EContent Professionals'
592,What is Paper ID of the paper with title A Differential LSI Method For Document Classification?,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Differential LSI Method For Document Classification'
593,What is Paper ID of the paper with title Structured Ramp Loss Minimization for Machine Translation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Structured Ramp Loss Minimization for Machine Translation'
594,What is Paper ID of the paper with title Modeling Argument Strength in Student Essays?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Modeling Argument Strength in Student Essays'
595,What is Paper ID of the paper with title Beyond Projectivity: Multilingual Evaluation of Constraints and Measures on Non-Projective Structures?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Beyond Projectivity: Multilingual Evaluation of Constraints and Measures on Non-Projective Structures'
596,What is Paper ID of the paper with title Machine Translation Systems And Computer Dictionaries In The Information Service: Ways Of Their Development And Operation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Machine Translation Systems And Computer Dictionaries In The Information Service: Ways Of Their Development And Operation'
597,What is Paper ID of the paper with title Two Ways to Use a Noisy Parallel News Corpus for Improving Statistical Machine Translation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Two Ways to Use a Noisy Parallel News Corpus for Improving Statistical Machine Translation'
598,What is Paper ID of the paper with title Machine Translation Method Using Inductive Learning With Genetic Algorithms?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Machine Translation Method Using Inductive Learning With Genetic Algorithms'
599,What is Paper ID of the paper with title Language Identification Via Large Vocabulary Speaker Independent Continuous Speech Recognition?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Language Identification Via Large Vocabulary Speaker Independent Continuous Speech Recognition'
600,What is Paper ID of the paper with title Towards Computer Systems For Conversing In Polish?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Towards Computer Systems For Conversing In Polish'
601,What is Paper ID of the paper with title Learning IE Rules For A Set Of Related Concepts?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Learning IE Rules For A Set Of Related Concepts'
602,What is Paper ID of the paper with title Incremental Construction And Maintenance Of Minimal Finite-State Automata?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Incremental Construction And Maintenance Of Minimal Finite-State Automata'
603,What is Paper ID of the paper with title Using HLT For Acquiring Retrieving And Publishing Knowledge In AKT?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Using HLT For Acquiring Retrieving And Publishing Knowledge In AKT'
604,What is Paper ID of the paper with title A Graphical User Interface for Feature-Based Opinion Mining?,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Graphical User Interface for Feature-Based Opinion Mining'
605,What is Paper ID of the paper with title Overview Of The Fourth DARPA Speech And Natural Language Workshop?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Overview Of The Fourth DARPA Speech And Natural Language Workshop'
606,What is Paper ID of the paper with title Large-Scale Cognate Recovery?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Large-Scale Cognate Recovery'
607,List all the Paper IDs of the paper with title starting with Speech?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Speech%'
608,List all the Paper IDs of the paper with title starting with Sentence Proce?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sentence Proce%'
609,List all the Paper IDs of the paper with title starting with Extending TimeML With Typ?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Extending TimeML With Typ%'
610,List all the Paper IDs of the paper with title starting with Natural?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Natural%'
611,List all the Paper IDs of the paper with title starting with Automatic?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Automatic%'
612,List all the Paper IDs of the paper with title starting with Multi-Relational Latent Semantic ?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Multi-Relational Latent Semantic %'
613,List all the Paper IDs of the paper with title starting with Knowtator: A Protege Plug-In For Annotated Corpus Constr?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Knowtator: A Protege Plug-In For Annotated Corpus Constr%'
614,List all the Paper IDs of the paper with title starting with HeidelT?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'HeidelT%'
615,List all the Paper IDs of the paper with title starting with From indexing the biomed?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'From indexing the biomed%'
616,List all the Paper IDs of the paper with title starting with A Software Environment For Developing Nat?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Software Environment For Developing Nat%'
617,List all the Paper IDs of the paper with title starting with Prosodic Cues T?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Prosodic Cues T%'
618,List all the Paper IDs of the paper with title starting with Hierarchical Clustering Of Words And Application To NL?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Hierarchical Clustering Of Words And Application To NL%'
619,List all the Paper IDs of the paper with title starting with Sequential?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sequential%'
620,List all the Paper IDs of the paper with title starting with Mcdonnell Douglas Electronic Systems Company: Description Of The INLET Sys?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Mcdonnell Douglas Electronic Systems Company: Description Of The INLET Sys%'
621,List all the Paper IDs of the paper with title starting with A Computer Model For Russian Grammatical Description And Method Of English Synthe?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Computer Model For Russian Grammatical Description And Method Of English Synthe%'
622,List all the Paper IDs of the paper with title starting with The Creation of a Corp?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'The Creation of a Corp%'
623,List all the Paper IDs of the paper with title starting with Exact Decoding For Join?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Exact Decoding For Join%'
624,List all the Paper IDs of the paper with title starting with Using Clustering to Improve Retrieval Evaluation without Re?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Using Clustering to Improve Retrieval Evaluation without Re%'
625,List all the Paper IDs of the paper with title starting with Aligning More Words With High Precision Fo?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Aligning More Words With High Precision Fo%'
626,List all the Paper IDs of the paper with title starting with T?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'T%'
627,List all the Paper IDs of the paper with title starting with Knowled?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Knowled%'
628,List all the Paper IDs of the paper with title starting with User-Friendly Text Pre?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'User-Friendly Text Pre%'
629,List all the Paper IDs of the paper with title starting with Aligning Sentences I?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Aligning Sentences I%'
630,List all the Paper IDs of the paper with title starting with Phylo?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Phylo%'
631,List all the Paper IDs of the paper with title starting with Sublanguag?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sublanguag%'
632,List all the Paper IDs of the paper with title starting with A Pho?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Pho%'
633,List all the Paper IDs of the paper with title starting with Finding the Right Supervisor: Expert-Finding i?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Finding the Right Supervisor: Expert-Finding i%'
634,List all the Paper IDs of the paper with title starting with Re?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Re%'
635,List all the Paper IDs of the paper with title starting with Discovering Implicit Discourse Relations Through Brown Cluster?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Discovering Implicit Discourse Relations Through Brown Cluster%'
636,List all the Paper IDs of the paper with title starting with How to Produce Unseen Teddy Bears: Improved Morphological Processing of Compounds in S?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'How to Produce Unseen Teddy Bears: Improved Morphological Processing of Compounds in S%'
637,List all the Paper IDs of the paper with title starting with Biomedical Named Entity Recognition Using Conditional Random Fields And Rich Featur?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Biomedical Named Entity Recognition Using Conditional Random Fields And Rich Featur%'
638,List all the Paper IDs of the paper with title starting with Towa?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Towa%'
639,List all the Paper IDs of the paper with title starting with Regul?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Regul%'
640,List all the Paper IDs of the paper with title starting with Distrib?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Distrib%'
641,List all the Paper IDs of the paper with title starting with Modeling Child Divergenc?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Modeling Child Divergenc%'
642,List all the Paper IDs of the paper with title starting with Crawling microblogging services to gather language-classified URLs?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Crawling microblogging services to gather language-classified URLs%'
643,List all the Paper IDs of the paper with title starting with Finding M?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Finding M%'
644,List all the Paper IDs of the paper with title starting with The Role O?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'The Role O%'
645,List all the Paper IDs of the paper with title starting with Proba?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Proba%'
646,List all the Paper IDs of the paper with title starting with TIPST?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'TIPST%'
647,List all the Paper IDs of the paper with title starting with A Hedgehop over a?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'A Hedgehop over a%'
648,List all the Paper IDs of the paper with title starting with Exploiting Background Knowledge for Relation Extract?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Exploiting Background Knowledge for Relation Extract%'
649,List all the Paper IDs of the paper with title starting with Multi-word Term Extr?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Multi-word Term Extr%'
650,List all the Paper IDs of the paper with title starting with An Improved CRF based Chinese Langu?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'An Improved CRF based Chinese Langu%'
651,List all the Paper IDs of the paper with title starting with KUNL?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'KUNL%'
652,List all the affliates located in TX,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%TX%'
