,Natural,SQL
242,"How many author have name which contains with coda, Kri ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%coda, Kri%';"
243,"How many author have name which contains with elken, Henr ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%elken, Henr%';"
244,How many author have name which contains with lo Oliveira  ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%lo Oliveira %';
245,"How many author have name which contains with lesKemp, Liz ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%lesKemp, Liz%';"
246,"How many author have name which contains with orkmaz, Emi ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%orkmaz, Emi%';"
247,How many author have name which contains with hilipsenbu ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%hilipsenbu%';
248,How many author have name which contains with obichaud ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%obichaud%';
249,"How many author have name which contains with awker, To ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%awker, To%';"
250,How many author have name which contains with  Prak ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '% Prak%';
251,"How many author have name which contains with rin,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%rin, %';"
252,"How many author have name which contains with rg, J ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%rg, J%';"
253,"How many author have name which contains with e, Ye ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%e, Ye%';"
254,"How many author have name which contains with ter, D ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%ter, D%';"
255,"How many author have name which contains with ,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%, %';"
256,How many author have name which contains with uye ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%uye%';
257,"How many author have name which contains with hi, Tak ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%hi, Tak%';"
258,How many author have name which contains with  Hele ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '% Hele%';
259,How many number of papers have been published in the conference C-525?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-525' ;
260,How many number of papers have been published in the conference C-49?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-49' ;
261,How many number of papers have been published in the conference C-29?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-29' ;
262,How many number of papers have been published in the conference C-70?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-70' ;
263,How many number of papers have been published in the conference C-423?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-423' ;
264,How many number of papers have been published in the conference C-408?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-408' ;
265,How many number of papers have been published in the conference C-442?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-442' ;
266,How many number of papers have been published in the conference C-154?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-154' ;
267,How many number of papers have been published in the conference C-107?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-107' ;
268,How many number of papers have been published in the conference C-289?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-289' ;
269,How many number of papers have been published in the conference C-415?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-415' ;
270,How many number of papers have been published in the conference C-592?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-592' ;
271,How many number of papers have been published in the conference C-382?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-382' ;
272,How many number of papers have been published in the conference C-123?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-123' ;
273,How many number of papers have been published in the conference C-578?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-578' ;
274,How many number of papers have been published in the conference C-241?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-241' ;
275,How many number of papers have been published in the conference C-235?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-235' ;
276,How many number of papers have been published in the conference C-550?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-550' ;
277,How many number of papers have been published in the conference C-234?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-234' ;
278,How many number of papers have been published in the conference C-211?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-211' ;
279,How many number of papers have been published in the conference C-410?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-410' ;
280,How many number of papers have been published in the conference C-81?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-81' ;
281,How many number of papers have been published in the conference C-670?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-670' ;
282,How many number of papers have been published in the conference C-547?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-547' ;
283,How many number of papers have been published in the conference C-427?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-427' ;
284,How many number of papers have been published in the conference C-213?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-213' ;
285,How many number of papers have been published in the conference C-531?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-531' ;
286,How many number of papers have been published in the conference C-229?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-229' ;
287,How many number of papers have been published in the conference C-474?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-474' ;
288,How many number of papers have been published in the conference C-135?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-135' ;
289,How many number of papers have been published in the conference C-670?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-670' ;
290,How many number of papers have been published in the conference C-519?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-519' ;
291,How many number of papers have been published in the conference C-643?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-643' ;
292,How many number of papers have been published in the conference C-29?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-29' ;
293,How many number of papers have been published in the conference C-235?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-235' ;
294,How many number of papers have been published in the conference C-586?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-586' ;
295,How many number of papers have been published in the conference C-50?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-50' ;
296,How many number of papers have been published in the conference C-108?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-108' ;
297,How many number of papers have been published in the conference C-412?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-412' ;
298,How many number of papers have been published in the conference C-136?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-136' ;
299,How many number of papers have been published in the conference C-325?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-325' ;
300,List all the Conference ID with more than 222 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>222;"
301,List all the Conference ID with more than 305 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>305;"
302,List all the Conference ID with more than 173 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>173;"
303,List all the Conference ID with more than 247 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>247;"
304,List all the Conference ID with more than 324 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>324;"
305,What is the Conference ID of the conference in which paper of the id P99-1041 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P99-1041';
306,What is the Conference ID of the conference in which paper of the id W04-2301 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W04-2301';
307,What is the Conference ID of the conference in which paper of the id P09-1037 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P09-1037';
308,What is the Conference ID of the conference in which paper of the id N13-1032 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='N13-1032';
309,What is the Conference ID of the conference in which paper of the id L08-1296 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='L08-1296';
310,What is the Conference ID of the conference in which paper of the id C92-3156 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='C92-3156';
311,What is the Conference ID of the conference in which paper of the id W99-0104 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W99-0104';
312,What is the Conference ID of the conference in which paper of the id C80-1034 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='C80-1034';
313,What is the Conference ID of the conference in which paper of the id H05-1122 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='H05-1122';
314,What is the Conference ID of the conference in which paper of the id N10-1145 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='N10-1145';
315,What is the Conference ID of the conference in which paper of the id W08-0329 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W08-0329';
316,What is the Conference ID of the conference in which paper of the id W01-1004 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W01-1004';
317,What is the Conference ID of the conference in which paper of the id W04-1904 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W04-1904';
318,What is the Conference ID of the conference in which paper of the id W97-0216 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W97-0216';
319,What is the Conference ID of the conference in which paper of the id P80-1001 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P80-1001';
320,What is the Conference ID of the conference in which paper of the id P81-1013 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P81-1013';
321,What is the Conference ID of the conference in which paper of the id P08-2064 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P08-2064';
322,What is the Conference ID of the conference in which paper of the id W07-1702 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W07-1702';
323,What is the Conference ID of the conference in which paper of the id P15-1018 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P15-1018';
324,What is the Conference ID of the conference in which paper of the id P14-1100 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P14-1100';
325,What is the Conference ID of the conference in which paper of the id W11-2130 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W11-2130';
326,What is the Conference ID of the conference in which paper of the id H01-1045 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='H01-1045';
327,What is the Conference ID of the conference in which paper of the id L08-1438 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='L08-1438';
328,What is the Conference ID of the conference in which paper of the id C14-2004 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='C14-2004';
329,What is the Conference ID of the conference in which paper of the id N04-4035 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='N04-4035';
330,What is the Conference ID of the conference in which paper of the id W11-1414 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W11-1414';
331,What is the Conference ID of the conference in which paper of the id D09-1162 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1162';
332,What is the Conference ID of the conference in which paper of the id D14-1082 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D14-1082';
333,What is the Conference ID of the conference in which paper of the id D09-1092 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D09-1092';
334,What is the Conference ID of the conference in which paper of the id D14-1019 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D14-1019';
335,What is the Conference ID of the conference in which paper of the id W09-1707 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W09-1707';
336,What is the Conference ID of the conference in which paper of the id C10-2060 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='C10-2060';
337,What is the Conference ID of the conference in which paper of the id W06-1671 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W06-1671';
338,What is the Conference ID of the conference in which paper of the id N09-2047 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='N09-2047';
339,What is the Conference ID of the conference in which paper of the id P09-1060 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P09-1060';
340,What is the Conference ID of the conference in which paper of the id E12-3007 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='E12-3007';
341,What is the Conference ID of the conference in which paper of the id W10-0733 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W10-0733';
342,What is the Conference ID of the conference in which paper of the id E87-1044 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='E87-1044';
343,What is the Conference ID of the conference in which paper of the id D13-1001 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='D13-1001';
344,What is the Conference ID of the conference in which paper of the id P04-1041 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P04-1041';
345,What is the Conference ID of the conference in which paper of the id W11-0816 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W11-0816';
346,What is the Conference ID of the conference in which paper of the id P93-1013 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P93-1013';
347,What is the Conference ID of the conference in which paper of the id N03-4005 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='N03-4005';
348,What is the Conference ID of the conference in which paper of the id E12-1083 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='E12-1083';
349,What is the Conference ID of the conference in which paper of the id W03-0302 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W03-0302';
350,What is the Conference ID of the conference in which paper of the id P93-1002 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P93-1002';
351,List the paper ID of the all the paper which in the conference with ID C-31,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-31
352,List the paper ID of the all the paper which in the conference with ID C-274,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-274
353,List the paper ID of the all the paper which in the conference with ID C-53,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-53
354,List the paper ID of the all the paper which in the conference with ID C-459,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-459
355,List the paper ID of the all the paper which in the conference with ID C-581,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-581
356,List the paper ID of the all the paper which in the conference with ID C-342,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-342
357,List the paper ID of the all the paper which in the conference with ID C-647,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-647
358,List the paper ID of the all the paper which in the conference with ID C-310,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-310
359,List the paper ID of the all the paper which in the conference with ID C-84,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-84
360,List the paper ID of the all the paper which in the conference with ID C-53,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-53
361,List the paper ID of the all the paper which in the conference with ID C-314,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-314
362,List the paper ID of the all the paper which in the conference with ID C-528,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-528
363,List the paper ID of the all the paper which in the conference with ID C-422,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-422
364,List the paper ID of the all the paper which in the conference with ID C-99,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-99
365,List the paper ID of the all the paper which in the conference with ID C-445,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-445
366,List the paper ID of the all the paper which in the conference with ID C-612,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-612
367,List the paper ID of the all the paper which in the conference with ID C-539,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-539
368,List the paper ID of the all the paper which in the conference with ID C-314,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-314
369,List the paper ID of the all the paper which in the conference with ID C-589,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-589
370,List the paper ID of the all the paper which in the conference with ID C-358,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-358
371,List the paper ID of the all the paper which in the conference with ID C-318,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-318
372,List the paper ID of the all the paper which in the conference with ID C-320,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-320
373,List the paper ID of the all the paper which in the conference with ID C-519,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-519
374,List the paper ID of the all the paper which in the conference with ID C-41,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-41
375,List the paper ID of the all the paper which in the conference with ID C-651,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-651
376,List the paper ID of the all the paper which in the conference with ID C-418,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-418
377,List the paper ID of the all the paper which in the conference with ID C-424,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-424
378,List the paper ID of the all the paper which in the conference with ID C-306,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-306
379,List the paper ID of the all the paper which in the conference with ID C-329,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-329
380,List the paper ID of the all the paper which in the conference with ID C-463,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-463
381,List the paper ID of the all the paper which in the conference with ID C-52,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-52
382,List the paper ID of the all the paper which in the conference with ID C-185,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-185
383,List the paper ID of the all the paper which in the conference with ID C-529,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-529
384,List the paper ID of the all the paper which in the conference with ID C-438,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-438
385,List the paper ID of the all the paper which in the conference with ID C-520,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-520
386,List the paper ID of the all the paper which in the conference with ID C-195,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-195
387,List the paper ID of the all the paper which in the conference with ID C-358,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-358
388,List the paper ID of the all the paper which in the conference with ID C-665,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-665
389,List the paper ID of the all the paper which in the conference with ID C-210,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-210
390,List the paper ID of the all the paper which in the conference with ID C-166,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-166
391,List the paper ID of the all the paper which in the conference with ID C-534,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-534
392,How many number of papers have been published with the ID that starts with S10-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'S10-10%' ;
393,How many number of papers have been published with the ID that starts with W12-33?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W12-33%' ;
394,How many number of papers have been published with the ID that starts with C90-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C90-%' ;
395,How many number of papers have been published with the ID that starts with W9?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W9%' ;
396,How many number of papers have been published with the ID that starts with N09-50?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N09-50%' ;
397,How many number of papers have been published with the ID that starts with D10-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D10-%' ;
398,How many number of papers have been published with the ID that starts with W99-02?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W99-02%' ;
399,How many number of papers have been published with the ID that starts with W0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W0%' ;
400,How many number of papers have been published with the ID that starts with W13-19?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W13-19%' ;
401,How many number of papers have been published with the ID that starts with H91-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'H91-10%' ;
402,How many number of papers have been published with the ID that starts with C?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C%' ;
403,How many number of papers have been published with the ID that starts with C9?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C9%' ;
404,How many number of papers have been published with the ID that starts with C94-2?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C94-2%' ;
405,How many number of papers have been published with the ID that starts with W04?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W04%' ;
406,How many number of papers have been published with the ID that starts with W07-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W07-10%' ;
407,How many number of papers have been published with the ID that starts with L?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'L%' ;
408,How many number of papers have been published with the ID that starts with W97-0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W97-0%' ;
409,How many number of papers have been published with the ID that starts with I?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'I%' ;
410,How many number of papers have been published with the ID that starts with D08-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D08-%' ;
411,How many number of papers have been published with the ID that starts with W12-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W12-%' ;
412,How many number of papers have been published with the ID that starts with D0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D0%' ;
413,How many number of papers have been published with the ID that starts with N06-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N06-10%' ;
414,How many number of papers have been published with the ID that starts with P06?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P06%' ;
415,How many number of papers have been published with the ID that starts with W13?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W13%' ;
416,How many number of papers have been published with the ID that starts with W05-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W05-%' ;
417,How many number of papers have been published with the ID that starts with H?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'H%' ;
418,How many number of papers have been published with the ID that starts with L08-1?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'L08-1%' ;
419,How many number of papers have been published with the ID that starts with D1?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D1%' ;
420,How many number of papers have been published with the ID that starts with N15-11?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N15-11%' ;
421,How many number of papers have been published with the ID that starts with P09?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P09%' ;
422,How many number of papers have been published with the ID that starts with M91-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'M91-10%' ;
423,How many number of papers have been published with the ID that starts with H94-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'H94-10%' ;
424,How many number of papers have been published with the ID that starts with N04-1?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N04-1%' ;
425,How many number of papers have been published with the ID that starts with D12?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D12%' ;
426,How many number of papers have been published with the ID that starts with N12-30?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N12-30%' ;
427,How many number of papers have been published with the ID that starts with P03-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P03-10%' ;
428,How many number of papers have been published with the ID that starts with P8?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P8%' ;
429,How many number of papers have been published with the ID that starts with P09-2?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P09-2%' ;
430,How many number of papers have been published with the ID that starts with I?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'I%' ;
431,How many number of papers have been published with the ID that starts with W02?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W02%' ;
432,How many number of papers have been published with the ID that starts with P06-11?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P06-11%' ;
433,How many number of papers have been published with the ID that starts with D0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D0%' ;
434,How many number of papers have been published with the ID that starts with C82-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C82-10%' ;
435,How many number of papers have been published with the ID that starts with D13-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D13-%' ;
436,How many number of papers have been published with the ID that starts with A0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'A0%' ;
437,How many number of papers have been published with the ID that starts with P09-?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P09-%' ;
438,How many number of conference have been conducted in the field F-7?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-7' ;
439,How many number of conference have been conducted in the field F-6?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-6' ;
440,How many number of conference have been conducted in the field F-14?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-14' ;
441,How many number of conference have been conducted in the field F-13?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-13' ;
442,How many number of conference have been conducted in the field F-6?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-6' ;
443,How many number of conference have been conducted in the field F-8?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-8' ;
444,How many number of conference have been conducted in the field F-8?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-8' ;
445,List all the conference which has beeen conducted in the field with ID F-9,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-9' ;
446,List all the conference which has beeen conducted in the field with ID F-1,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-1' ;
447,List all the conference which has beeen conducted in the field with ID F-0,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-0' ;
448,List all the conference which has beeen conducted in the field with ID F-10,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-10' ;
449,List all the conference which has beeen conducted in the field with ID F-8,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-8' ;
450,List all the conference which has beeen conducted in the field with ID F-3,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-3' ;
451,List all the conference which has beeen conducted in the field with ID F-10,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-10' ;
452,List all the Field ID with more than 30 conferences,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>30;"
453,List all the Field ID with more than 36 conferences,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>36;"
454,List all the Field ID with more than 13 conferences,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>13;"
455,List all the Field ID with more than 38 conferences,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>38;"
456,List all the Field ID with more than 24 conferences,"SELECT COUNT(*),FieldID FROM ConfID_FieldID GROUP BY FieldID HAVING COUNT(*)>24;"
457,What is the Field ID in which the conference with ID C-652 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-652' ;
458,What is the Field ID in which the conference with ID C-466 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-466' ;
459,What is the Field ID in which the conference with ID C-227 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-227' ;
460,What is the Field ID in which the conference with ID C-496 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-496' ;
